634,165
830,633
38,917
652,686
62,881
985,35
617,112
567,305
119,295
316,910
99,715
200,521
795,301
137,554
901,428
755,940
286,494
86,621
893,316
535,652
357,372
469,407
829,50
293,750
115,43
720,740
990,611
123,584
195,92
485,613
782,367
700,625
527,402
381,402
650,87
291,808
447,466
171,541
912,612
577,676
853,696
129,667
610,674
51,978
12,663
947,838
725,805
917,930
399,864
496,737
941,276
943,729
151,845
588,721
954,160
343,704
178,34
141,724
732,162
847,969
126,126
267,4
311,915
637,542
286,916
407,872
572,139
576,407
597,287
670,673
941,137
630,464
805,697
719,539
316,68
108,844
275,629
332,874
547,425
976,286
85,139
175,71
848,596
147,155
505,894
120,117
556,330
108,411
691,754
190,922
933,568
300,783
453,905
264,372
93,968
153,891
321,416
899,311
28,748
522,875
38,132
605,214
217,722
933,573
891,202
488,280
522,890
650,230
92,738
674,213
480,599
468,595
512,509
50,617
376,772
240,549
159,366
77,35
4,234
78,909
1,639
933,935
568,971
429,224
683,528
178,284
618,669
109,632
727,996
458,604
240,316
529,693
115,514
453,80
465,943
949,294
432,492
370,525
4,140
104,657
391,73
286,640
938,143
682,823
502,877
961,760
880,54
352,888
440,381
470,536
149,962
924,632
362,136
596,659
11,411
843,442
946,771
912,656
737,366
378,29
308,1
667,578
264,554
157,857
770,330
840,89
584,686
470,351
511,617
711,190
389,661
567,347
193,736
517,726
928,114
44,749
585,412
752,951
346,353
788,249
943,945
781,95
548,880
835,784
196,351
550,210
430,631
54,178
200,730
91,384
490,224
490,367
610,382
25,826
41,719
673,53
23,115
301,62
890,97
469,463
948,120
142,492
785,421
186,836
407,163
438,928
640,534
305,676
97,166
324,681
37,185
279,340
837,146
92,804
96,1000
510,505
728,838
872,777
129,136
67,15
266,669
113,806
810,913
987,275
739,319
917,653
173,798
947,395
287,623
689,260
822,2
388,953
616,2
908,625
313,551
320,245
58,604
616,789
123,876
752,705
332,37
815,708
832,522
128,693
929,531
523,933
758,513
431,671
658,955
858,991
873,34
307,764
391,622
293,79
17,367
538,880
394,393
417,463
423,174
60,310
905,834
710,414
624,5
270,160
469,143
905,34
541,307
344,248
622,239
101,23
353,340
992,605
847,972
332,184
362,207
492,566
53,474
322,480
378,534
541,81
80,266
186,711
235,411
207,893
420,137
949,330
785,89
455,514
142,795
395,634
391,796
37,678
824,875
105,283
464,25
895,625
197,174
385,108
814,503
551,763
593,254
831,100
612,945
81,788
91,729
743,810
573,276
546,16
318,589
65,428
896,999
873,683
453,687
177,196
106,189
731,538
357,857
257,359
73,415
313,70
483,966
863,373
370,934
317,926
657,414
881,705
619,854
192,725
694,157
628,704
168,918
863,391
107,260
522,783
249,709
796,931
90,26
740,962
667,389
316,145
207,62
266,996
777,266
964,286
353,153
273,201
602,352
703,633
783,923
294,636
378,442
24,178
247,736
1,166
430,258
608,698
435,136
333,193
15,312
762,444
185,370
164,808
532,440
728,717
476,461
849,57
985,34
189,523
196,993
452,411
170,376
891,616
614,179
3,956
130,487
904,733
418,707
95,916
682,702
690,604
262,713
748,937
697,103
353,62
754,560
307,921
400,593
377,412
879,546
81,35
541,767
232,355
367,142
987,101
324,291
10,670
856,113
224,797
697,64
156,254
470,543
493,597
912,690
109,657
90,179
653,102
36,476
98,692
802,77
944,515
417,602
758,731
127,281
657,708
868,143
887,28
742,695
777,811
979,295
111,116
917,459
592,31
250,958
734,911
246,432
812,500
970,1000
894,479
264,620
472,961
537,525
799,741
341,266
697,294
416,48
122,920
152,40
393,708
286,672
430,525
13,154
670,762
932,150
717,846
517,199
664,284
558,235
268,153
888,855
990,93
521,483
868,534
583,919
980,211
190,274
602,433
527,953
669,259
912,514
976,537
435,985
316,697
974,62
602,643
325,145
685,270
696,690
359,653
422,563
450,161
295,677
925,917
733,843
905,781
29,100
665,391
497,28
264,759
891,191
20,814
590,63
19,490
225,806
19,38
467,252
888,123
390,451
152,161
982,711
921,647
278,227
845,526
325,318
573,866
858,396
166,252
792,760
87,180
690,515
135,20
381,184
342,536
120,2
756,920
641,588
344,266
484,698
821,205
808,204
438,824
407,829
379,887
284,40
414,38
339,752
404,701
737,120
5,864
885,284
692,536
995,282
257,627
917,51
707,251
587,110
835,120
371,423
310,481
901,909
848,565
374,481
363,8
748,243
516,724
713,453
665,154
249,213
624,724
407,493
252,660
672,418
310,685
426,261
584,248
861,930
581,626
471,391
289,405
27,916
894,301
971,356
496,964
123,209
553,486
984,461
48,56
876,203
975,360
188,94
632,94
534,850
588,735
809,68
138,52
849,837
929,822
549,353
720,639
90,633
427,631
837,484
513,949
71,698
324,396
572,561
153,216
242,638
56,281
875,230
676,389
868,386
203,66
117,932
642,657
32,327
924,845
126,385
363,138
269,191
42,332
191,480
140,102
78,953
571,134
464,986
732,925
372,589
919,457
255,309
820,835
45,253
941,969
55,276
662,887
462,592
177,201
19,168
362,582
162,527
288,402
180,644
387,164
10,561
371,136
257,908
621,791
635,750
261,256
375,591
923,801
394,180
948,285
944,434
182,922
313,12
277,650
202,251
842,432
380,23
998,668
309,941
173,478
935,504
590,223
300,289
737,18
536,330
862,251
54,736
927,589
662,588
85,676
825,406
899,344
18,580
196,315
458,568
798,809
318,90
9,60
649,763
126,970
969,553
667,441
268,668
8,799
645,85
204,467
423,221
647,476
925,839
229,25
379,316
809,103
408,525
322,71
487,528
280,900
139,62
271,576
397,655
763,336
815,635
994,109
58,380
756,223
495,235
770,576
203,863
38,443
59,193
528,865
768,740
474,982
779,448
323,78
132,849
698,260
119,252
244,205
124,406
215,802
901,576
346,933
474,66
681,423
267,321
471,651
156,524
717,492
659,768
828,279
825,677
483,782
366,139
265,189
357,114
611,666
650,89
852,489
696,821
186,616
876,450
142,555
943,22
109,823
94,265
809,304
317,306
117,210
192,742
821,728
252,674
167,356
724,943
819,918
740,714
108,284
918,895
469,874
684,761
670,635
568,759
717,231
917,750
959,229
671,307
100,907
756,448
786,771
247,726
28,316
487,995
306,602
662,438
180,952
546,836
30,535
144,835
37,783
328,737
955,77
335,256
637,362
235,579
521,29
882,524
196,265
738,797
562,177
777,908
712,623
587,873
732,538
836,894
932,451
913,794
458,866
454,957
157,296
367,890
717,948
537,979
118,544
873,667
834,28
39,283
907,602
141,142
131,594
175,739
686,181
313,808
142,376
908,192
214,126
135,991
207,657
834,847
717,865
599,673
681,409
338,165
308,525
116,229
229,84
211,602
314,582
397,517
491,936
641,578
242,162
774,195
260,614
396,156
455,473
541,309
885,75
90,308
840,41
271,757
93,529
503,347
930,850
234,450
220,251
106,626
73,245
755,326
51,494
109,119
406,538
362,66
42,587
620,725
444,81
609,647
604,159
229,901
909,77
405,93
